Label,Messages
fraud,"""Hey there, it's Saba! Would you mind sending 500 rupees to my Easy Paisa number 039876543210?"""
fraud,"""Good day, I'm Saba. Would you be able to send 500 rupees to my Easy Paisa number 030987654321?"""
fraud,"Send load of 50 rupees to my this number 03049466786. I will return it later, don't call me.please. i am saba."
fraud,I am saba please send me 5oo rupees on my easy paisa number 030287654321.
fraud,"My name is saba, I got an accident . I am in hospital , I need 20,000 rupees . please send me on this number 030287654321. I will return it later."
fraud,"Dear Customer! Your HBL SMS ALERT Service is ending soon. To make Free SMS ALERT on your mobile number Active again, click on this link please . Visit http://www.smasfrshbl.com"
fraud,Your A/C no ****xxxxxx017 has been credited by PKR 30000 on 21 May at 11:53:58 from XXX Bank account Benazir Income Support Program via Inter Bank Funds Transfer.
fraud,"Contact this number 0331-017396 along with the ID card in your home which is registered on BISP, you are awarded for the Monthly aid of 25,000 rupees."
fraud,we are working with your Bank and you are winner of the lucky draw for 5 lac rupees cash. For getting your prize Kindly share your ATM PIN with us which is a four digit code 0xxx. Contact us back on this number 0412345123.
fraud,"‘You have won a prize and you have to follow my instructions to get this prize of 25 lac rupees, your Account Number, mobile model and sed that OTP code to us."
fraud,"My name is ali from HBL Help line, your account number is 0012344567990876 is selected for a prize Kindly share your account number and PIN so that you don’t face any issue."
fraud,"Your name is shan , your ID card number is 12345123445443 and 3 SIM's are registered on your ID card number. You are selected for a lottery of 40,000 prize Kindly send us Your Bank Account Number with the PIN."
fraud,"I am Talking From Government official, My name is Major sahir . Your ID card number is selected in the lucky draw for 5 Million rupees. If you want to get your prize give us your Bank Account number with your PIN."
fraud,"Hello, my name is john talking from te behalf of your mobile network telecom operator, your friend send the amount of 10,000 on your ID card kindly shre that OTP code with us."
fraud,"Hey, I am talking on the behalf of the zong telecom operator,your sim card has a 3 digit code. Kindly share that code with us you will be awarded 10,000 rupees cash."
fraud,"Dear customer, I am texting you from the HBL Helpline center. Your Bank account number is working as e- banking , kIndly share the email with us which hou have been set as your username. Your Account number is selected in lucky draw which is 1 million rupees."
fraud,"Dear customer, your HBL e -banking service is stop because you cannot verify your account . Click on the below link http://www.hcl.com/23456"
fraud,send 7000 rupees on the CNIC No.1340212334556. Then you will recived double amount on your number which is 14000 rupees. It is like a prize bond for you..
fraud,"your mother cnic is registered in BISP you will received 32,000 rupees on the first month. In the next month this amount will become double and you will get 64,000 rupees without using any money, kindly send your CNIC number with the pin code."
fraud,"Kindly share the login details of your Bank Account or the last 4 digits of the Debit/ATM card for confirming your prize bond of 50,000 rupees."
fraud,"you will be the winner of the cash prize of 50,000 rupees by sharing the last four digits of your Bank Account Number. Contact us at our toll free number 0312345678."
fraud,"Listen Listen Listen ! Prize of PKR 30,0000 amount you will be the winner of this prize by sending 15,000 amount to our easy paisa account for the prize confirming and then you will send again 15,000 amount to get your total amount of 30,0000."
fraud,"I told them the truth that I do not have money of PKR 50,000 rupees. They said ‘Fine, you can pay whatever you have’. ” for getting the prize bond in which you are selected. Contact us back it is just for you."
fraud,"Here is a big new just for you! For depositing just PKR 5000 rupees in our account , you will be added in a lottery of million rupees.contact us as soon as possible."
fraud,just by sharing the serial number of the top up card you will be chosen for the next prize which is 5000 rupees . So hurry up don’t miss this chance of getting the prize..
fraud,your Bank Account will be closed for permanently if you donot share the PIN Code immediately. Share your ATM PIN quickly. I am a responsible person from the Bank Helpline.
fraud,"By tranferring just 5000 rupees only once into our easy paisa account you will get a lot more in returns too which is the amount of 20,000 rupees. So why are you waiting don’t't miss this opprtunity."
fraud,I have got this message that you have won PKR 5 lac prize.I have to send PKR 3000 then the process will be completed.just by sending mobile top-up of PKR 3000. you will soon received the message f the prize.
fraud,"your sister have won the prize of 10 lac rupees and 10 tola gold please take your prize and just paid the registration amount which is 10,000. contact us at our location."
fraud,I got a message from Benazir Income Support. It was from 25 to 30 thousand rupees. I was very happy that I will get the money by giving the little amount for providing the services to the people.
fraud,collect your prize from our department which is 20 lac rupees and turkey tickets just by providing the Atm PIN. Our customer will call you in a while provide your account details with PIN.
fraud,"Dear customer, send me the amount of PKR 5000 rupees for getting a chance to selected in a lottery. This lottery is consist of 2 million rupees. Here is a chance to get this offer or this chance is not given to anyone."
fraud,"send me the money of PKR 10,000 rupees using Easypaisa. You will be selected in a prize bond. Contact us back on our number which is 03112323445."
fraud,You will be awarded an iphone 14 pro max by just depositing the 5000 amont to our easy paisa account. Kindly call us back for confirming your mobile phone prize.
fraud,The 34 inch smart Tv is awarded to you which is the product of Sony Tv. The 34 inch Tv screen is capable of the Wfi facility. You can watch the netflix movies freely. Just send us your Bank Account number with the ATM PIN.
fraud,"You are selected for a Plot of 10 marlas in DHA Islamabad , kindly share your complete details with our user on the text . Share your cnic card, Bank account details."
fraud,"By just giving your details for market survey you will be awarded with a free amount of 30,000 cash , so don't waste time just text us back on our whatsapp number 0912345678."
fraud,"If you are a mobile phone user , so this offer is for you. Just by installing our app you will earn upto 10,000 rupees daily. Just click on the below link http://www.earnmoney/1234556"
fraud,Just sent it. So what type of food do you like? So in our next food festival you will be awared free food for the whole year.
fraud,"Please protect yourself from e-threats. Only your Bank heads asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
fraud,"The zong Telecom numbers ending 9167 are selected to receive a Rs.2,00,000 award. If you have a match please call 7044518857 quoting claim code 5001 standard rates apply"
fraud,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
fraud,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of 2 Lacs.there is no source to arrange this amount.
fraud,here is my new address -apples&pairs&all that malarky send me urgent money of 2 lac .
fraud,"For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. www.movietrivia.tv custcare 08712405022
"
fraud,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
fraud,Hello- thanx for taking that call. I got a job! Starts on monday! You can also start it just by investing 1000 dollar per month.
fraud,"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care and paid 1000 dollar, contact us at 6299257179 now."
fraud,"I'd say that's a good sign but, well, you know my track record at women foundation . So you can invest in our doundation by giving 5 lac donation."
fraud,"Your bill is 300 dollar, so don't worry We will pay you the bill just you deposit the amount of 50 dollar."
fraud,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out, your friend is little damaged in an accident kindly come with the money of 5000 dollar to protect it."
fraud,Oh oh... Wasted... All your money of the bank account is stolen by a user ...
fraud,"Dear Sir Your Bank card has been blocked because you did not updated yet, If you want to update your ATM card please paid the amount of fine which is 500 dollars at the given numbers+971586153091 +971523182746"
fraud,Hey you can pay more your bill by enetring in the lottery of the year. You will get much many rewards by just giving the 100 dollar amount as a entry charges.
fraud,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We offer exciting prize for you please picked your prize of macbook laptop just by giving the entry charges which is 200 dollars.. Have a fab new year."
fraud,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to take your credit card from the home and also give me the PIN of your ATM CARD."
fraud,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net Â£1.50pm approx 3mins
fraud,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.7,00,000 prize GUARANTEED. Call 7679046492. Claim Code L92 Valid 12hrs only."
fraud,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
fraud,"URGENT!! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins"
fraud,"U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special for the prize kindly paid 10,000 dollar to our donation foundation call us at 09058094599"
fraud,"This is the 2nd attempt to contract U, you have won this weeks top prize of either Â£1000 cash or Â£200 prize. Just call 09066361921"
fraud,WE WILL HOLD YOUR Payment of 4000 dollars AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 6299257179
fraud,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet. AND GET THE AMOUNT OF 3000 DOLLARS ON THE SPOT.
fraud,"Win the newest Â“Harry Potter and the Order of the Phoenix . reply HARRY, answer 5 questions - chance to be the first WINNER of the free phoenix among readers!"
fraud,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or Â£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
fraud,"Your Mobile Won 500,000.00euro in Blackberry Netherlands Promo. For claims E-mail code: NL101 to claims@bbnetherlands.co.cc"
fraud,Dear (paytm)customer your paytm KYC has been suspended PAY-TM office PH 8536074310 Your Paytm A/C will block within 24hr. Contact us back and paid the amount of 700 dollars.
fraud,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at 12pm and send thecash of 10,000 I will return it soon with the double just send me the money I am in need ."
fraud,"You have WON a guaranteed Â£1000 cash or a Â£2000 prize.To claim yr prize call our customer service representative on 08714712413
"
fraud,"You've won tickets to the EURO2004 CUP FINAL or Â£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
fraud,"Solve d Case : A Man Was Found Murdered On 19 october, AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play.whoz the murderer?"
fraud,"FreeMsg Hi baby wow just got a new winner of the cam mobile, Wanna take price? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv"
fraud,WIN URGENT! Your mobile number has been awarded with a Â£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
fraud,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575."
fraud,"(Alert) Your Rbc Royal Bank has been suspended. To unlock your account, click here: http://reac.mobi/@mobile"
fraud,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
fraud,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
fraud,"You are a Â£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
fraud,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
fraud,"Last Chance! Claim ur Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Sub. 16"
fraud,You have an outstanding tax refund of 578.44G8P for the tax year 15/16. Please fill out the following form to process your refund http:///hmrc.taxrebate.co.uk
fraud,"URGENT! Your Mobile number has been awarded with a INR.2,00,000 prize GUARANTEED. Call 6200992462 from land line. Claim 3030. Valid 12hrs only"
fraud,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
fraud,"Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073  you will win this prize, contact for details 18+"
fraud,UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+Â£1.50perWKsub
fraud,PRIVATE! Your 2004 Account Statement for 07742676564 shows 786 unredeemed Bonus Points. To claim call 08719180249 Identifier Code: 45239 Expires
fraud,"You have 1 new voicemail. and you are awarded with a prize of 10 lac rupees, Please call 08719181513."
fraud,"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 8927307655 to claim it is a prize for you."
fraud,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117
fraud,we tried to contact you FOR GETTING YOUR PRIZE  give your response to our offer of a new iphone 12 pro phone  hit reply or call 08000930705 for delivery your prize.
fraud,what is your account number? share your account number with us for winning the 1000 dollar. call us at our contact number 0412345678.
fraud,You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo company and just give the registration charges which is 1000 dollar ang get free phone which is  FREE on 08002986906.
fraud,Please confirm the time to collect the cheque which is awarded by the company  of KFC call us at 0934567789.
fraud,"Jamster! To get your free wallpaper for whole year text HEART to 88888 now, Call 08701213186."
fraud,"Urgent Message for CIBC Account Holder, Kindly Login to our secure server to check your informationï¿½http://2cibc.mobileupdate.gram pianostudio.com/cibcfullz/Internet Support"
fraud,PRIVATE! Your  Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires or your account will be blocked.
fraud,"A amount of 2000 dollar cash is awarded to you, to collect  amount CALL 090580769801 ."
fraud,"Do you want a New Nokia 1210  phone Delivered Tomorrow? if Yes, also  With 300 free minutes to any mobile network do a quick reply or call 08000930705."
fraud,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
fraud,fbr GOVt of Pakistan publish y0ur records show that your tax refund of  can now be claime. Please continue via:https://ukhmrc-tax-refund.comï¿½to claim your refund otherwise you will be not given any firther facilities.
fraud,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
fraud,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
fraud,As a Registered Subscriber  of the zong 4G mobile network you are a winner of the   gift voucher  of  10 lac rupees cash.
fraud,"Today those numbers which are ending in 52263 are selected to receive an amount of  Rs.6,00,000 award. If you have a match please call 6208892462 ."
fraud,"THIS MOBILE NUMBER HAS GAINED THE SUM US$ 650,000.00 FROM MML/REF#1001, FOR DETAIL SEND YOUR NAME, ADDRESS, AND NUMBER TO EMAIL MEGARESULT@USA.COM"
fraud,(6171-M) RMO.00 AEON MY Rs. 4399 was charged on your card num**97 at LAZO-KLIA2 on 19/10/2016. Call 0327884425 if you did NOT perform this TXN code 356931  otherwise your account will be credited.
fraud,"Dear customer your PayPal has been expired, It will be blocked within 24 hours, please contact us!call on our 7679046492"
fraud,FREE MSG:We billed your mobile number by mistake from shortcode 83332. Please call 45671263000 to have the charges refunded. This call will be free from a BT landline or your number will be blocked permanently.
fraud,"SIX chances to win CASH! From 1000 to 20,000 pounds text us at  0900345678 for info."
fraud,Please CALL 08712402578 immediately as there is an urgent message share the ATM PIN with us.
fraud,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or Â£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
fraud,"Congratulations - Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
fraud,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
fraud,Congratulations YOU'VE Won. You're a Winner in our August Â£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
fraud,u r a winner U have been specially selected 2 receive £15000 cash or a 4* holiday (flights including all expenses) speak to a live operator 2 claim 0871277810710p/min (18 )
fraud,We regret to inform you that your Benazir  card is now locked. To unlock please update security details at http://www.benazir.com/1122334
fraud,URGENT! We are trying to contact U. Today's draw shows that you have won a £1800 prize GUARANTEED. Your account mony will be doubled if you just paid a one-time amount to us so  Call 09050001809 from a landline. Claim M95. Valid12hrs only
fraud,"WIN: We have a winner! Mr. umair won an iPhone 14pro max! More exciting prizes soon, so keep an eye on your mobile or visit www.win.pk"
fraud,Congratulations ur awarded 5040 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
fraud,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
fraud,"Your iPhone ID is due to expire today, Please tap only this link https://is.gd/App and then paid 500 pond amount to Verify to update and prevent loss of services and Apps."
fraud,"WINNER! A good news for you is that your number 7827156256 is chosen for $5500 CASH prize, call+38977148576 now"
fraud,Ur cash-balance is currently 1500 pounds - to maximize ur cash-in now send us half amount and we will return it to you as a double amount in your Account. To collect your amount call us at 08718720201.
fraud,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept to collect your free tickets of Turkey. it will Expire soon. Call us at  08717507382 NOW!
fraud,"Congratulations!!! You are SELECTED for a free  COVID-19 Grant, To Redeem your free aid ,Contact us Via Email: covid19grant@cokegrant.com"
fraud,Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
fraud,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
fraud,Congratulations - in this week's competition draw u have won the 1450 pound prize to claim just call 09050002312.
fraud,"Dear customer, Due to BVN system upgrade, your ATM CARD has been de-activated by CBN. To re-activate call customer care 08167340838 for help."
fraud,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
fraud,"Your credits have been topped up for http://www.bubbletext.com , your account is hacked and your  new  and Your renewal Pin is tgxxrz"
fraud,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
fraud,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
fraud,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject .
fraud,"State Bank Of Pakistan  has noticed your debit card was recently used on 23-05-2023 at 11:08:93, at DARAZ ONLINE STORE for 1920.00 Rupees If not please urgently call us 03303800231. "
fraud,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
fraud,You can donate Â£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. Â£2.50 will be added to your next bill
fraud,"Congratulations! Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
fraud,Camera - You are awarded a SiPix Digital Camera! call 09061221067 fromm landline. Delivery within 28 days.
fraud,"600 New Mobiles from Nokia, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
fraud,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
fraud,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
fraud,Please call our customer service representative on 0808 145 4742 between 9am-11pm as you have WON a guaranteed $1000 cash or $5000 prize!
fraud,You have 1 new voicemail in which you will be chosen for a prize which is in cash so dont waste this opportunity. Please call 08719181503
fraud,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
fraud,network operator. The service is free just pay 1000 dollar one time and enjoy upto 1 year. For T & C's visit 80488.biz
fraud,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
fraud,"Attention dear user , You've won: 500,000 cash, 1 motorcycle, and 1 freezer. Dial 3526076763 now!"
fraud,Important notification: Your ATM CARD has been deactivated temporarily as part of a state bank system upgrade. Reactivate by calling 03142343556 .
fraud,"Dear cardholder, your ATM CARD is currently inactive due to a state bank system upgrade. Please call 03315432445 to initiate reactivation."
fraud,"Hello customer, the state bank has temporarily suspended your ATM CARD due to a system upgrade. Call 03365432122 for reactivation assistance."
fraud,"Valued recipient, your ATM CARD has been deactivated temporarily due to a state bank system upgrade. Call us at 03456546554 to reactivate."
fraud,"Attention cardholder, a state bank system upgrade has led to the temporary deactivation of your ATM CARD. Dial 091-3243234 o restore access"
fraud,"Congratulations! You're a fortunate winner of cash! Text ""money"" to 8900 to claim your reward. We have over Rs. 2 million to give away! Call us at 0332-1323455 and collect your prize."
fraud,"Wow, luck is on your side! You've won big money! To claim, text ""money"" to 84500. Over Rs. 3 million awaits you. Contact us at 0332-9876543 to receive your prize."
